id,Headline,Category,Date,realorfake
56,Russian medalist at Games suspected of doping: source,Local News,2/18/2018 0:00,real
57,Factbox: Five facts about meldonium,Local News,2/18/2018 0:00,real
58,Trump: FBI missed signs on Florida shooting due to Russia probe,Local News,2/17/2018 0:00,real
59,Student survivors of Florida shooting slam Trump over FBI tweets,Local News,2/18/2018 0:00,real
60,Netanyahu says Israel could act against Iran's 'empire',Local News,2/18/2018 0:00,real
61,"Iran's Zarif says Israel's ""myth of invincibility"" has crumbled",Local News,2/18/2018 0:00,real
62,Five killed in attack on church in Russia's Dagestan: agencies,Local News,2/18/2018 0:00,real
63,"Leading SPD mayors back coalition with Merkel, poll shows",Local News,2/18/2018 0:00,real
64,Ally of Germany's Merkel steps down before new government formation,Local News,2/18/2018 0:00,real
65,Chilean sexual abuse victim testifies before Vatican investigator,Local News,2/17/2018 0:00,real
66,"Exclusive: For now, U.S. wants Europeans just to commit to improve Iran deal",Local News,2/18/2018 0:00,real
67,Firearms debate rages as Florida rally coincides with gun show,Local News,2/17/2018 0:00,real
68,Saudi Arabia welcomes push for U.N. action against Iran on missiles,Local News,2/18/2018 0:00,real
69,"All passengers, crew in Iran plane crash believed dead: airline spokesman",Local News,2/18/2018 0:00,real
70,"U.S. still unsure who directed Syria attack, despite Russian dead",Local News,2/18/2018 0:00,real
71,Public reports 'clearly show' Assad's use of chemical weapons: McMaster,Local News,2/17/2018 0:00,real
72,Mexico helicopter crash kills 13 on ground in wake of earthquake,Local News,2/17/2018 0:00,real
73,Trump ex-aide Manafort accused of bank fraud in bail offer: document,Local News,2/17/2018 0:00,real
74,Trump to meet House Speaker Ryan on Sunday in Florida: White House,Local News,2/17/2018 0:00,real
75,Facebook plans to use U.S. mail to verify IDs of election ad buyers,Local News,2/17/2018 0:00,real
76,White House's Kelly tightens security clearance procedures post-scandal,Local News,2/16/2018 0:00,real
77,Maldives police arrest 25 after protest demanding leader's arrest,Local News,2/17/2018 0:00,real
78,Israel's Netanyahu condemns Polish PM for 'Jewish perpetrators' comment,Local News,2/17/2018 0:00,real
79,Judge approves Takata's U.S. bankruptcy plan,Local News,2/17/2018 0:00,real
80,U.S. calls for action to halt Iran's growing 'network of proxies',Local News,2/17/2018 0:00,real
81,Britain's anti-EU party UKIP votes to sack leader Bolton,Local News,2/17/2018 0:00,real
82,"Tesla delays, tax credit concerns spur sales of Chevy Bolts",Local News,2/16/2018 0:00,real
83,"Oxfam sex abuse criticism disproportionate, chief executive says",Local News,2/17/2018 0:00,real
84,Turkey summons Dutch charge d'affaires over Armenian 'genocide' motions,Local News,2/17/2018 0:00,real
85,Former U.S. presidential candidate Romney announces Utah Senate bid,Local News,2/16/2018 0:00,real
86,Moscow says no evidence behind U.S. indictment of Russians for alleged election meddling,Local News,2/17/2018 0:00,real
87,Russia's Lavrov says reports on U.S. election interference 'just blather',Local News,2/17/2018 0:00,real
88,"Turkey denies use of chemicals in Syria's Afrin, says accusations baseless",Local News,2/17/2018 0:00,real
89,"As support falls, German SPD sees 'no Plan B' to Merkel coalition",Local News,2/17/2018 0:00,real
90,"U.S. Commerce Department proposes hefty import curbs on steel, aluminum",Local News,2/16/2018 0:00,real
91,Big Mexico quake cuts power and damages homes; two dead in crash,Local News,2/16/2018 0:00,real
92,China says will protect its interests amid U.S. trade probe,Local News,2/17/2018 0:00,real
93,"FBI admits failure to act on Florida school gunman, drawing anger",Local News,2/16/2018 0:00,real
94,'Get back in here!' Sandy Hook lessons spared lives in Florida shooting,Local News,2/16/2018 0:00,real
95,Reactions to Russian indictments in 2016 U.S. election meddling probe,Local News,2/16/2018 0:00,real
96,Facebook faces big challenge to prevent future U.S. election meddling,Local News,2/17/2018 0:00,real
97,Trump visits Florida hospital to pay respects after school shooting,Local News,2/16/2018 0:00,real
98,Mexico's Pemex says no immediate reports of quake damage at its plants,Local News,2/17/2018 0:00,real
99,Confluence of crises crashes Trump's 'Infrastructure Week',Local News,2/16/2018 0:00,real
100,Russian indictments could set stage for more Mueller charges,Local News,2/16/2018 0:00,real
101,'Sinister and systematic attack' by Russians prompts U.S. Congress calls for action,Local News,2/16/2018 0:00,real
102,S&P 500 caps off strongest week in five years,Local News,2/16/2018 0:00,real
103,"World stocks post best week in two years, dollar climbs",Local News,2/16/2018 0:00,real
104,'NO COLLUSION:' Trump says vindicated by Russia meddling indictments,Local News,2/16/2018 0:00,real
105,U.S. man indicted for identity fraud in Russia probe 'made a mistake': lawyer,Local News,2/16/2018 0:00,real
106,Factbox: Effort to sway election included 'Clinton' in prison garb - indictment,Local News,2/16/2018 0:00,real
107,Trump acknowledges Russia mounted anti-U.S. campaign ahead of 2016 election,Local News,2/16/2018 0:00,real
108,"GE faces shareholder lawsuit over insurance shortfall, SEC probe",Local News,2/16/2018 0:00,real
109,"South Africa's Ramaphosa hails 'new dawn', warns of tough decisions",Local News,2/16/2018 0:00,real
110,U.S. top court mulls whether to take up 'Dreamers' dispute,Local News,2/16/2018 0:00,real
111,Sessions orders review of federal response to violence warnings,Local News,2/16/2018 0:00,real
112,Indicted Russian businessman says not upset by election meddling charges: RIA,Local News,2/16/2018 0:00,real
113,Russia calls U.S. allegations of election meddling absurd,Local News,2/16/2018 0:00,real
114,FBI says it did not properly follow-up tip on accused Florida shooter,Local News,2/16/2018 0:00,real
115,Kremlin 'not yet familiar' with U.S. indictments for election meddling,Local News,2/16/2018 0:00,real
116,'Tough decisions' for South Africa to cut deficit: Ramaphosa,Local News,2/16/2018 0:00,real
117,Turks propose joint deployment with U.S. in Syria as allies aim to mend ties,Local News,2/16/2018 0:00,real
118,Malicious cyber activity cost U.S. up to $109 billion in 2016: White House report,Local News,2/16/2018 0:00,real
119,Intel hit with 32 lawsuits over security flaws,Local News,2/16/2018 0:00,real
120,Telltale internet message may have foreshadowed Florida school massacre,Local News,2/15/2018 0:00,real
121,"Ajay Gupta, probed over Zuma ties, left South Africa for Dubai on February 6: airport",Local News,2/16/2018 0:00,real
122,Lost in translation? GM plant shutdown shocks South Korea,Local News,2/16/2018 0:00,real
123,Agreement near on Democrats' Russia memo: Schiff,Local News,2/16/2018 0:00,real
124,Russian toll in Syria battle was 300 killed and wounded: sources,Local News,2/15/2018 0:00,real
125,"Factbox: Brave faculty, model students among 17 shot dead at Florida school",Local News,2/15/2018 0:00,real
126,Uber introduces new safety features as it fights to retain London license,Local News,2/16/2018 0:00,real
127,Backstory: Warren Buffett's Valentine's Day surprise for investors,Local News,2/16/2018 0:00,real
128,"As mining investors push caution, Glencore differs from rivals",Local News,2/16/2018 0:00,real
129,Gone with the wind: storms deepen Florida's beach sand crunch,Local News,2/16/2018 0:00,real
130,Kremlin says no new information on Russians killed in Syria,Local News,2/16/2018 0:00,real
131,Factbox: Sifting through U.S. beach sand numbers,Local News,2/16/2018 0:00,real
132,Pakistan could face economic pain from return to terrorist financing 'gray list',Local News,2/16/2018 0:00,real
133,SEC blocks Chicago Stock Exchange sale to China-based investors,Local News,2/16/2018 0:00,real
134,Swiss skiers first athletes hit by norovirus at Games,Local News,2/16/2018 0:00,real
135,China's ZTE says is trusted partner after U.S. concern,Local News,2/15/2018 0:00,real
136,Rights group sues to block Ohio Down syndrome abortion ban,Local News,2/15/2018 0:00,real
137,"Senate rejects immigration bills, leaves Dreamers in limbo",Local News,2/15/2018 0:00,real
138,Boeing stays in race to supply Canada with fighter jets: sources,Local News,2/15/2018 0:00,real
139,CBS tops estimates as licensing business grows,Local News,2/15/2018 0:00,real
140,U.S. spy agencies to brief state officials on election threats,Local News,2/15/2018 0:00,real
141,Wall St. rallies for fifth straight session on tech lift,Local News,2/15/2018 0:00,real
142,U.S. groups sue Trump administration over teen pregnancy grant cuts,Local News,2/15/2018 0:00,real
143,Bannon met with special counsel investigators two days this week,Local News,2/15/2018 0:00,real
144,Florida victim's mom screams: 'Trump stop guns getting into children's hands',Local News,2/15/2018 0:00,real
145,U.S. tries to keep some Russia probe details secret despite Republican memo,Local News,2/15/2018 0:00,real
146,Paradise lost: Massacre jolts Florida's 'safest city',Local News,2/15/2018 0:00,real
147,"Global stocks climb, shrugging off inflation data; dollar falls",Local News,2/15/2018 0:00,real
148,Trump escalates attack on bipartisan immigration plan,Local News,2/15/2018 0:00,real
149,Kansas candidate raffles same type of rifle used in Florida shooting,Local News,2/15/2018 0:00,real
150,"Berkshire buys Teva, feels IBM blues as Apple becomes top investment",Local News,2/14/2018 0:00,real
151,'Do you fear me?': Venezuela's Maduro vows to gatecrash regional summit,Local News,2/15/2018 0:00,real
152,U.S. court says Trump travel ban unlawfully discriminates against Muslims,Local News,2/15/2018 0:00,real
153,Senate sets initial votes in immigration debate,Local News,2/15/2018 0:00,real
154,Trump says will make schools safer after Florida shooting,Local News,2/15/2018 0:00,real
155,White House pressures Republicans to withdraw from immigration bill,Local News,2/15/2018 0:00,real
156,Thousands of FedEx customer records exposed by unsecured server,Local News,2/15/2018 0:00,real
157,Republican lawmaker clashes with Sessions over sentencing reform bill,Local News,2/15/2018 0:00,real
158,Mexican drug lord 'El Chapo' to face U.S trial in September,Local News,2/15/2018 0:00,real
159,"Florida suspect took part in white nationalist militia, leader says",Local News,2/15/2018 0:00,real
160,Factbox: Major shootings in the United States,Local News,2/15/2018 0:00,real
161,Florida gets failing grade for its gun laws: study,Local News,2/15/2018 0:00,real
162,White House rejects bipartisan group of senators' immigration plan,Local News,2/15/2018 0:00,real
163,U.S. producer prices rise in January; industrial output falls,Local News,2/15/2018 0:00,real
164,"UK blames Russia for cyber attack, Moscow decries Western campaign",Local News,2/15/2018 0:00,real
165,Speaker Ryan wants to fix possible legal gaps on guns and mental health,Local News,2/15/2018 0:00,real
166,U.S. attorney general pledges 'going to take action' after Florida shooting,Local News,2/15/2018 0:00,real
167,"Ramaphosa elected president of South Africa, vows anti-corruption fight",Local News,2/15/2018 0:00,real
168,South Africa declares Gupta brother 'fugitive from justice',Local News,2/15/2018 0:00,real
169,Trump to make national address after Florida school shooting: spokeswoman,Local News,2/15/2018 0:00,real
170,House Speaker Ryan: Florida shooting shouldn't threaten right to own guns,Local News,2/15/2018 0:00,real
171,Ramaphosa to work hard 'not to disappoint the people of South Africa',Local News,2/15/2018 0:00,real
172,U.S. Senate showdown over 'Dreamer' immigrants seen Thursday,Local News,2/14/2018 0:00,real
173,U.S. weekly jobless claims rebound from near 45-year lows,Local News,2/15/2018 0:00,real
174,Wily negotiator Ramaphosa takes South Africa's top job,Local News,2/15/2018 0:00,real
175,Cyril Ramaphosa elected President of South Africa,Local News,2/15/2018 0:00,real
176,Factbox: The big issues facing South Africa's new president,Local News,2/15/2018 0:00,real
177,"EU tells Facebook, Google and Twitter to do more for users",Local News,2/15/2018 0:00,real
178,South Africa opposition EFF says will boycott election of new president Thursday,Local News,2/15/2018 0:00,real
179,Russia denies British allegations that Moscow was behind cyber-attack,Local News,2/15/2018 0:00,real
180,South African police arrest eight in influence-peddling probe,Local News,2/15/2018 0:00,real
181,Ex-student arrested after 17 shot dead at Florida high school,Local News,2/14/2018 0:00,real
182,Qualcomm meets Broadcom to discuss $121 billion acquisition offer,Local News,2/14/2018 0:00,real
183,South Africa's parliament speaker receives Zuma's letter of resignation,Local News,2/15/2018 0:00,real
184,Putin sends condolences to Trump after Florida shootings: Kremlin,Local News,2/15/2018 0:00,real
185,South African parliament to elect new president on Thursday: ANC chief whip,Local News,2/15/2018 0:00,real
186,Florida school shooting suspect a troubled ex-student who was 'crazy about guns',Local News,2/15/2018 0:00,real
187,U.S. Democrats push $1 billion bill for election security,Local News,2/14/2018 0:00,real
188,North Korea canceled planned meeting with Pence,Local News,2/21/2018 0:00,real
189,Exclusive: Investment star Alan Howard's comeback hits headwind,Local News,2/21/2018 0:00,real
190,Confidant of Israel's Netanyahu turns state's witness in corruption case: media,Local News,2/21/2018 0:00,real
191,'Samurai' Goggia denies Vonn to win downhill gold,Local News,2/21/2018 0:00,real
192,"Final version of Trans-Pacific trade deal released, rules pushed by U.S. on ice",Local News,2/21/2018 0:00,real
193,Japan hopes U.S. returns to TPP but overhaul tough: negotiator,Local News,2/20/2018 0:00,real
194,Exclusive: Japan to buy at least 20 more F-35A stealth fighters - sources,Local News,2/21/2018 0:00,real
195,Philippines 'concerned' as U.S. intelligence tags Duterte a threat to democracy,Local News,2/21/2018 0:00,real
196,FCC reversal of net neutrality rules expected to be published Thursday: sources,Local News,2/20/2018 0:00,real
197,Video of gun owner's assault on an AR-15 goes viral after Florida mass shooting,Local News,2/21/2018 0:00,real
198,North Korean officials canceled planned meeting with Pence: Pence's office,Local News,2/21/2018 0:00,real
199,"Trump moves to outlaw 'bump stocks,' considers other steps after Florida shooting",Local News,2/20/2018 0:00,real
200,"Clooney, Winfrey, Spielberg offer $500,000 each for gun control march",Local News,2/20/2018 0:00,real
201,"Dow, S&P snap winning streak as Walmart weighs",Local News,2/20/2018 0:00,real
202,Mueller ups pressure on Trump campaign aides with new charge,Local News,2/20/2018 0:00,real
203,Judge denies AT&T access to White House correspondence on Time Warner deal,Local News,2/20/2018 0:00,real
204,U.S. yields rise in auctions as stocks sink; dollar recovers,Local News,2/20/2018 0:00,real
205,Age limit for buying AR-15 assault rifle 'on the table': White House,Local News,2/20/2018 0:00,real
206,Syrian Kurdish YPG denies deal for army to enter Afrin,Local News,2/19/2018 0:00,real
207,Turkey says hopes to solve issues over Manbij via dialogue with U.S.,Local News,2/19/2018 0:00,real
208,"Turkey says operation in Syria's Afrin to continue, warns Damascus on intervention",Local News,2/19/2018 0:00,real
209,World stocks break recovery streak with U.S. and China closed,Local News,2/19/2018 0:00,real
210,"Turkey's Erdogan, Russia's Putin discuss Syria observation posts: Turkish source",Local News,2/19/2018 0:00,real
211,'Bad guy' Russia emerges as central player in Western diplomacy,Local News,2/18/2018 0:00,real
212,Russian team in shock over Games doping scandal,Local News,2/19/2018 0:00,real
213,Carnival probes security personnel's response to brawl in South Pacific cruise,Local News,2/19/2018 0:00,real
214,Kremlin says charges over U.S. election tampering prove nothing,Local News,2/19/2018 0:00,real
215,Trump-Russia probe muddies House hearing on U.S. threat assessment: sources,Local News,2/15/2018 0:00,real
216,Factbox: Major school shootings in the United States,Local News,2/14/2018 0:00,real
217,Former Republican presidential candidate Romney to run for Senate: source,Local News,2/14/2018 0:00,real
218,White House faces new pressure from Congress over aide's departure,Local News,2/14/2018 0:00,real
219,Cisco tops estimates as turnaround takes center stage,Local News,2/14/2018 0:00,real
220,"Zuma quits, ending scandal-plagued term as South African president",Local News,2/14/2018 0:00,real
221,Walmart goes to the cloud to close gap with Amazon,Local News,2/14/2018 0:00,real
222,"In Trump's first year, U.S. agency doubles solar investments abroad",Local News,2/14/2018 0:00,real
223,What inflation? Apple and Facebook drive Wall Street rally,Local News,2/14/2018 0:00,real
224,Trump says he opposes domestic violence and everybody knows that,Local News,2/14/2018 0:00,real
225,"Bonds plunge, global stocks surge on spike in U.S. CPI data",Local News,2/14/2018 0:00,real
226,South Africa's ANC says Zuma's resignation gives country certainty,Local News,2/14/2018 0:00,real
227,South Africa's Zuma quits after party turns against him,Local News,2/14/2018 0:00,real
228,Factbox: South Africa's divisive president - Zuma's many scandals,Local News,2/14/2018 0:00,real
229,Wrong turn could have sparked security scare at U.S. spy agency: FBI,Local News,2/14/2018 0:00,real
230,South Africa's Zuma to address nation at 2000 GMT: presidency,Local News,2/14/2018 0:00,real
231,'Scorching' CPI bolsters bets on U.S. rate hikes,Local News,2/14/2018 0:00,real
232,Senators try building support for new bipartisan immigration bill,Local News,2/14/2018 0:00,real
233,"After bribery allegations, Netanyahu's government stable - for now",Local News,2/14/2018 0:00,real
234,"More Israelis believe police than Netanyahu, polls show",Local News,2/14/2018 0:00,real
235,Rise in U.S. inflation puts spotlight on Fed's Powell,Local News,2/14/2018 0:00,real
236,Inflation pickup a challenge for Fed chief Powell,Local News,2/14/2018 0:00,real
237,Senior White House official resigns over security clearance: Politico,Local News,2/14/2018 0:00,real
238,Trump has 'great confidence' in chief of staff Kelly: Pence,Local News,2/14/2018 0:00,real
239,Zuma's behavior threatens state security: South Africa's ANC,Local News,2/14/2018 0:00,real
240,Instant View: U.S. January Consumer Price Index up more than expected,Local News,2/14/2018 0:00,real
241,Democrat hopes to resolve Russia memo issues 'very soon',Local News,2/14/2018 0:00,real
242,Trump asks Democrats to negotiate on infrastructure plan,Local News,2/13/2018 0:00,real
243,No Gupta family member arrested in South Africa police raids: lawyer,Local News,2/14/2018 0:00,real
244,Explainer: Rising U.S. inflation and what it means for markets,Local News,2/13/2018 0:00,real
245,Atlanta Fed cuts U.S. first quarter GDP view to 3.2 percent,Local News,2/14/2018 0:00,real
246,J.P. Morgan lowers U.S. first quarter GDP estimate to 2.5 percent,Local News,2/14/2018 0:00,real
247,Myanmar policeman who detained Reuters pair 'did not know arrest procedures',Local News,2/14/2018 0:00,real
248,House Speaker Ryan says immigration action needed in March,Local News,2/14/2018 0:00,real
249,"Congress probes White House, FBI over domestic abuse accusations",Local News,2/14/2018 0:00,real
250,Speaker Ryan: White House should condemn domestic violence,Local News,2/14/2018 0:00,real
251,House panel chairman seeks White House security clearance details,Local News,2/14/2018 0:00,real
252,Physical oil market sends warning to OPEC: Rout might not be over,Local News,2/13/2018 0:00,real
253,U.S. business inventories rise more than expected in December,Local News,2/14/2018 0:00,real
254,South Africa's ANC says positive to hear Zuma will not defy party,Local News,2/14/2018 0:00,real
255,U.S. retail sales post biggest decline in 11 months,Local News,2/14/2018 0:00,real
256,South Africa's Zuma says ANC order for him to step down is 'unfair',Local News,2/14/2018 0:00,real
257,Zuma no-confidence motion set for Thursday: South Africa parliament,Local News,2/14/2018 0:00,real
258,South Africa's ANC wants budget speech to go ahead as planned next Wednesday,Local News,2/14/2018 0:00,real
259,Hungary submits anti-immigration 'Stop Soros' bill to parliament,Local News,2/14/2018 0:00,real
260,"South Korea union says GM plant closure is 'death sentence', threatens strike",Local News,2/14/2018 0:00,real
261,Exclusive: Dozens of refugee resettlement offices to close as Trump downsizes program,Local News,2/14/2018 0:00,real
262,South Africa's ANC will back no-confidence vote in Zuma on Thursday,Local News,2/14/2018 0:00,real
263,South Africa police minister denies Zuma to be arrested,Local News,2/14/2018 0:00,real
264,"More Gupta-related arrests expected in South Africa, judicial source says",Local News,2/14/2018 0:00,real
265,South African police arrest three people in Johannesburg raids,Local News,2/14/2018 0:00,real
266,Gupta family member arrested in Johannesburg raid: SABC,Local News,2/14/2018 0:00,real
267,Zuma's office tells media to 'await official notification' on briefing,Local News,2/14/2018 0:00,real
268,"Trump weighs tariffs, quotas on U.S. steel, aluminum imports",Local News,2/13/2018 0:00,real
269,"GM Korea offers workers three times annual wage, tuition fees for redundancy",Local News,2/14/2018 0:00,real
270,"In long Afghan war, U.S. Army tries new way to deploy trainers",Local News,2/14/2018 0:00,real
271,Second U.S. judge blocks Trump administration from ending DACA program,Local News,2/13/2018 0:00,real
272,Chipotle turns to Taco Bell's 'Doritos Locos' chief as new CEO,Local News,2/13/2018 0:00,real
273,"One man killed, two wounded in shooting in Utah: police",Local News,2/14/2018 0:00,real
274,U.S. defense spending bonanza puts niche acquisitions in play,Local News,2/14/2018 0:00,real
275,Israeli police recommend bribery charges against Netanyahu,Local News,2/13/2018 0:00,real
276,FBI's Wray contradicts White House on Porter background check,Local News,2/13/2018 0:00,real
277,U.S. 2018 elections 'under attack' by Russia: U.S. intelligence chief,Local News,2/13/2018 0:00,real
278,"Fractious politics, debt pose security threats: U.S. intelligence director",Local News,2/13/2018 0:00,real
279,Pence raises prospect of talks with North Korea while applying 'maximum pressure',Local News,2/12/2018 0:00,real
280,Wall St. advances; investors lock on inflation data,Local News,2/13/2018 0:00,real
281,Senate Republican leader embraces Trump immigration plan,Local News,2/13/2018 0:00,real
282,Colorado shuts down funeral home operated by body parts broker,Local News,2/13/2018 0:00,real
283,Netanyahu: What happens next?,Local News,2/13/2018 0:00,real
284,"North Korea warms to South after visit, volume down on border propaganda",Local News,2/12/2018 0:00,real
285,Broadcom scales back Qualcomm board challenge to simple majority,Local News,2/13/2018 0:00,real
286,ANC orders Zuma to step down as South African president,Local News,2/12/2018 0:00,real
287,UK's Oxfam hit by new report of sex abuse by aid workers,Local News,2/13/2018 0:00,real
288,Pennsylvania court set to redraw voting maps after governor veto,Local News,2/13/2018 0:00,real
289,"Market volatility, budget deficits pose test for Fed's Powell",Local News,2/13/2018 0:00,real
290,White House defends security clearance process on ex-aide Porter,Local News,2/13/2018 0:00,real
291,There should be immigration solution this week: Senate leader McConnell,Local News,2/13/2018 0:00,real
292,U.S. urges U.N. to hold Myanmar military accountable for 'ethnic cleansing',Local News,2/13/2018 0:00,real
293,"Takata, injured drivers reach deal to end U.S. bankruptcy",Local News,2/11/2018 0:00,real
294,"U.S. urges help for Iraq, extends $3 billion credit line",Local News,2/13/2018 0:00,real
295,"Netanyahu, in televised address, says will continue to lead Israel",Local News,2/13/2018 0:00,real
296,Exclusive: U.S. pushes motion to put Pakistan on global terrorist - financing watchlist,Local News,2/13/2018 0:00,real
297,U.S. says Myanmar denial of ethnic cleansing is 'preposterous',Local News,2/13/2018 0:00,real
298,South Africa's Zuma to hold media briefing Wednesday: eNCA TV,Local News,2/13/2018 0:00,real
299,U.S. intelligence chief says North Korea 'decision time' is near,Local News,2/13/2018 0:00,real
300,Trump administration official: no formal plans to enact a 'reciprocal tax',Local News,2/13/2018 0:00,real
301,France says Myanmar massacre could constitute crimes against humanity,Local News,2/13/2018 0:00,real
302,South Africa cabinet meeting due Wednesday postponed,Local News,2/13/2018 0:00,real
303,Zuma will respond to ANC exit order on Wednesday: top party official,Local News,2/13/2018 0:00,real
304,South Africa's ANC says will 'deal with matter' if Zuma refuses to go,Local News,2/13/2018 0:00,real
305,"For advertisers, Snapchat's got the kids",Local News,2/13/2018 0:00,real
306,Damascus warns Israel of 'more surprises' in Syria,Local News,2/13/2018 0:00,real
307,Malaysia further downgrading ties with North Korea a year after airport assassination: sources,Local News,2/13/2018 0:00,real
308,Unilever threatens online ad cuts to clean up internet,Local News,2/12/2018 0:00,real
309,"Don't take the president literally, aide says, after women deride 'macho-fascist' Duterte",Local News,2/13/2018 0:00,real
310,Scenarios: How South Africa's Zuma could leave office,Local News,2/13/2018 0:00,real
311,"At long last, Senate debates 'Dreamer' immigrants' future",Local News,2/12/2018 0:00,real
312,Top ANC official telling Zuma that party wants him out: source,Local News,2/13/2018 0:00,real
313,South Korea's Moon says U.S. is open to talks with North Korea: Yonhap,Local News,2/13/2018 0:00,real
314,Judge to rule on Assange's bid to escape legal action in Britain,Local News,2/13/2018 0:00,real
315,North Korea dials down border propaganda after Games open,Local News,2/13/2018 0:00,real
316,South Africa's ANC to hold media briefing on Zuma's fate,Local News,2/13/2018 0:00,real
