,title,realfake
20,The words Extraordinary Claims needs to be banished when talking Extraterrestrials,fake
21,We Know The Truth,fake
22,UFO over the East Valley here in AZ last night.,fake
23,Found this nugget in Podesta files Fastwalkers and DSP Program,fake
24,EMP event forthcoming?,fake
25,Kids being made to vote for President in School,fake
26,"Congressmen Turned Radio Host, Joe Walsh, Recklessly Talks Muskets If Trump Loses",fake
27,Two Powerful Quakes Hit Italy Within Hours,fake
28,Gov. Bill Weld Encourges Supporters to Stop Trump,fake
29,Little Blue Balls...,fake
30,"Finally, my first thread! :)",fake
31,Russia puzzled by Norways decision to host US Marines,fake
32,the influencing machine and magnus olsens blood.,fake
33,Why isnt observer evidence like eyewitness accounts counted as evidence for UFOs?,fake
34,Watch up! Mission Impossible against voter registration to make Trump Win starts from Indiana!,fake
35,Is Donald Trump Autistic?,fake
36,Nanobots causing overwhelming depression. Not far off the end now...,fake
37,yet another proof of wrong touchscreen calibration,fake
38,Master of the Estate,fake
39,It Will Come for You All...,fake
40,To pander to Hispanics Hillary states some whoppers on Univision,fake
41,Donald Trump and the Disabled Reporter: The whole truth and not the spin put on by the media.,fake
42,Rigging the Election - Video IV: $20K Wire Transfer From Belize Returned,fake
43,Trumps Hollywood Walk of Fame star Destroyed with a Sledgehammer and Pick,fake
44,Has family guy gone nuts?,fake
45,"Mexico Declares Marijuana Use ""Human Right"" In Supreme Court",fake
46,"Chena River, Fairbanks Alaska. A swimming beast is caught on tape. What is it?",fake
47,DONALD J. TRUMP - Officially Lays Out His NEW DEAL FOR BLACK AMERICA.,fake
48,Im no bloody wankah,fake
49,Teotihuacan,fake
50,Hillary Clintons election fraud finally exposed. California stolen from Bernie Sanders!,fake
51,Hyperloop One,fake
52,Time does nothing,fake
53,Vote Vote Vote,fake
54,"BUSTED! Pro-Trump PAC Rep Admits To Voter Suppression Campaign Targeting Blacks, Suburban Mothers",fake
55,"Hillary Clinton Wants a Strong Russia. Wait, what did she say?",fake
56,UFO Investigator - MAX SPIERS - Found Dead After Vomiting Black Liquid.,fake
57,Trump: Hillary Clintons policy for Syria would lead to world war three,fake
58,Julian Assange Surfaces - Speaks at Argentina Conference Via Telephone,fake
59,Letter for Mr Smith - part 2 The Main -,fake
60,A guide to the Paradoxroutine,fake
61,ERB Trump vs Clinton is finally here!,fake
62,Tonopah Test Range Google Earth imagery 7/22/2016,fake
63,WIKILEAKS: Hillary Clinton Needed Someone to 'Sober Her Up' at 4:30 in the Afternoon,fake
64,Looking Beyond November 8th - A Song of Oligarchy and Doom,fake
65,More Footage Of Operation High Jump With Hitler!,fake
66,A Pilots Experience,fake
67,The Moon that Fell from Heaven,fake
68,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",fake
69,Shadow Government in South Korea,fake
70,Mary Rodwells New Book The New Human,fake
71,Netflixs CEO says entertainment pills could be the next big thing,fake
72,RELEASE: The Podesta Emails Part 20,fake
73,I declare myself a conscientious objector,fake
74,Heartless Trump cuts sweet old grannys water supply,fake
75,Jubilee Year of Mercy ends on November 20. Following Judgment?,fake
76,Northrop Unveils Sixth Gen Fighter Concept,fake
77,Britain to send hundreds more troops to Russia border as Cold War tension escalates,fake
78,New NASA Footage Films UFO Flying Past,fake
79,Putin: stupid and unrealistic claims of impending war,fake
80,"Conspiracy Theories deliverd to your door, anonymously.",fake
81,Secret messages hidden within the SPAM of the Podesta Emails ?,fake
82,Must be impeach of a hand,fake
83,Universe is a hologram/virtual reality - But why? Could it be this?,fake
84,Time:God,fake
85,Tom deLonge: Changing the cynical views of youth towards government,fake
86,"War On Islam, As Islam Only Wants War. No Peace.",fake
87,NASA's gateway to deep space,fake
88,Forget Wikileaks...this is the real October Surprise that is going to stop Hillary,fake
89,Can anyone help with the meaning behind a mystery playing card?,fake
90,Planet Nine,fake
91,Images reveal crashed Schiaparelli Mars lander,fake
92,Best Forgotten,fake
93,"What is one more election thread, ehhh?",fake
94,Hillary Conquers 2 Steps with Little Help,fake
95,New EVP I want a 2nd Opinion,fake
96,Obamacare is Meant to Fail in Order to Usher in Government-Run Socialist Health Care,fake
97,WATCH: The moment police realised homeless man was bombing suspect,fake
98,UC Berkeley SJWS Build Human Wall to BLock White Students from Campus,fake
99,Goldman Sachs Endorses Hillary Clinton For President,fake
100,The Latest: Clinton to unveil anti-bullying plan,fake
101,Here Goes Nothing: Futilitys Song,fake
102,Democrats are Racist for Calling Black Trump Supporters Uneducated Red Necks,fake
103,NASA to test in flight folding wing,fake
104,Assange - Hillary will win and tried to hack Wikileaks,fake
105,Is google and YouTube in the Hillary's purse?,fake
106,MEDIA SHAME - These 65 Journalists are Now Presstitutes. Their Madam is Hillary Clinton.,fake
107,Mike Pences Plane Slides off Runway at LaGuardia,fake
108,GOP VP candidate Mike Pences plane skids off runway at LaGuardia airport,fake
109,Oregon Standoff Leaders Acquitted For Malheur Wildlife Refuge Takeover,fake
110,To anyone relying on the not enough troops to indicate concern defense,fake
111,"This Election is Not About Trump, Its about a Giant Middle Finger to Washington DC.",fake
112,BBC: Nato sends a message to Russia,fake
113,"Lasers, they are truly upon US.",fake
114,Ice Cube: Trump America loves -Hill called us superpreditors -The Bern whatve you done,fake
115,Erica Garner blasts Clinton campaign over discussions staffers had about Eric Garner,fake
116,Homeless TRUMP Supporter Guards Donald Trump's Star on Hollywood Blvd,fake
117,Scientists say weird signals from space are 'probably' aliens,fake
118,Can normal transistors act like a qubit?,fake
119,Podesta relative earned six-figure fees lobbying Clintons State Dept. during his tenure there,fake
120,10 Things to Expect with a Hillary Clinton Presidency,fake
121,"Executes 190 Iraqi Civilians in Hammam al-Alil, 42 in Arij Village: Official",fake
122,Clinton's Policies Look Like a Death Sentence for Americans,fake
123,Yemeni forces fire ballistic missile deep inside Saudi Arabia at Jeddah airport,fake
124,ISIS Executes 22 Civilians by Electrocution in Central Mosul,fake
125,An Eight Point Brief for Voting to Avoid Corporate Evil,fake
126,"Jaish Al-Fatah Leader Admits Receiving Financial, Military Aid from Saudi Arabia",fake
127,Gruesome Video Shows Turkish Soldiers Execute Female Kurdish PKK Fighters by Shooting in Their Heads,fake
128,Gruesome Video Shows Turkish Soldiers Execute Female Kurdish PKK Fighters by Shooting in Their Heads,fake
129,Saudis Foil ISIS Terror Attacks on Packed Stadium,fake
130,What will Hillary Clinton do for India? Not Much and Here's Why,fake
131,ISIS Executes 300 Iraqi Civilians by Firing Squad North of Mosul,fake
132,How Grey are the White Helmets and Their Backers?,fake
133,Top Aide to Hillary Clinton Urges the FBI to Disclose what it Knows about Trump's Russia Ties,fake
134,"Iranians Spend $2.1b on Beauty Products Annually, 3 Times more than Their European Counterparts",fake
135,A New Email Investigation on Clinton Could Hasten the Democratic Party's Demise,fake
136,Why Palestinians Want to Sue Britain: 99 Years since the Balfour Declaration,fake
137,The Genocide of Indigenous Peoples in North America and Palestine-Israel - American Herald Tribune,fake
138,"Shall We Save Civilization, or Not? - American Herald Tribune",fake
139,Iraqi Soldier Battling in Mosul Reunited with His Family After Two Years of Estrangement,fake
140,Clinton's Blitzkrieg Campaign: the Savage Politics of the Oligarchs,fake
141,Ann Garrison: Clinton Serves the Interests of the Oligarchy that She Herself Has Joined,fake
142,‘Like Asking if You’ll Stop Beating Your Wife’: Saudi Ambassador to US Dodges Yemen Cluster Bomb Question - American Herald Tribune,fake
143,Mosul Civilians Stormed City Main Prison and Free 45 ISIS Prisoners,fake
144,CETA Is Step towards a Corporate Land Called Euramerica,fake
145,Palestine Considers Suing Israel in International Sports Court,fake
146,Iraqi Commander: 'Saudi Arabia Mother of All Terrorism',fake
147,ISIS Uses 600 Suicide Dogs to Restrain Iraqi Army’s Advance in Mosul,fake
148,Political Prisoner Takes on US Military-Industrial Complex,fake
149,"Massachusetts is the Next Laboratory for School Privatization, and Why it Must Be Stopped",fake
150,Creating an Anti-Muslim Bias at a Canadian University,fake
151,Arise President Trump (or Why it's not the End of the World as We Know it),fake
152,Why Muslims Hold the Biggest Human Gathering under the Threat of ISIS in Iraq?,fake
153,The B'nai Brith and the History of the Mounting Assault on Academic Freedom in Canadian Universities,fake
154,"Readings in the Jewish Zionist Control of the United States: Interviews with Francis Boyle, James Petras, Kim Petersen",fake
155,New ISIS Video Threatens Putin While Russian Child Executioners Execute 4 Men,fake
156,No Soul-searching by Liberals and US Presstitutes after Clinton's Defeat,fake
157,The Unethicality of the Sore Loser,fake
158,Brian Cloughley: “The Greatest Achievement of Mr. Trump would be Engage in Positive Discussions with Russia and China”,fake
159,Senior MP Reveals Saudi Arabia's Role in Several Failed Assassination Attempts in Iran,fake
160,Why Mutual Respect Beats Liberalism - American Herald Tribune,fake
161,Russian Navy Fleet Starts Strikes at Terrorists' Positions in Syria's Aleppo,fake
162,ISIS Executes Scores and Hangs Their Bodies from Electrical Poles around Mosul: U.N.,fake
163,Defeating White Liberalism in the Age of Trump,fake
164,"China Warns Trump against Abandoning Climate Change Deal, Increases Climate Change Aid to Developing Countries to $ 3.1b",fake
165,Cognition and True Islam - A Book Review,fake
166,Will America Survive the Next 4 Years?,fake
167,Saudi Arabia Warns Trump on Blocking Oil Imports: FT,fake
168,Don't Make Universities Instruments of Assault on Marginalized Peoples,fake
169,Messenger 40 – Muslims Develop Technology to Promote Religious Unity against Radicalism,fake
170,"Won, Now What?",fake
171,Crossing the Line in Democracy,fake
172,"Terrorists' Strategic Bastion Facing Collapse in Southwestern of Syria's Aleppo, Civilians Attack Terrorists' Food Stuff Warehouses",fake
173,"ISIS Abducts 75 Civilians Southwest of Kirkuk, Ties ‘Iraqi Army Spies’ to Trees and Beheads Them",fake
174,Sergei Shoigu: Admiral Kuznetsov Aircraft-carrying Cruiser Has Begun Military Operations for the First Time in History of Russian Navy; Kills Over 50 Nusra Terrorists Including Commanders in Aleppo,fake
175,The Walk Of Light – Arbaeen Pilgrimage Rises a Great Resistance against Radicalism,fake
176,"Iraqi Forces Recapture Southern Front of Mosul, Kill over 950 ISIS Militants",fake
177,ISIS in Egypt Beheads 100-year-old Sufi Cleric for Practicing Witchcraft,fake
178,"Mark Zuckerberg, Don't Get Hoodwinked by Media and Politicians",fake
179,University of Lethbridge Is an Indicator that Canada Is on a Downwards Spiral: Interview with Prof. Anthony Hall,fake
180,Media Blackout as Millions of Muslims March against ISIS and Umayyad Islam in Iraq for Arbaeen Rituals,fake
181,Syrian Army Wins Control over Terrorists' Operations Room in Aleppo,fake
182,Wayne Madsen: The CIA Has Always Served the Interests of Wall Street,fake
183,Disrespecting the American Imperial Presidency,fake
184,"President of a NATO Member Country, First Ever Foreign President to Address Iran's Parliament",fake
185,"Jordanian Bedouin Poet Proposes to Tiffany Trump, Asks Her to Wear Burka",fake
186,"Egypt Says No to Saudi, Drafts Generals and Pilots to Fight Alongside Syrian Army against ISIS",fake
187,"Readers Enraged By MSM Election Reporting - 'You Misled Your Readers, Blinded By Journalistic Bigotry'",fake
188,WIKILEAKS: Hillary Staffers Were Happy About Killing of Black Teen to Advance Gun Control “This is Great” – American Lookout,fake
189,WHAT? Some Cities Are Now Pushing For Noncitizen Immigrants TO VOTE – American Lookout,fake
190,WOW! Trump Ties Hillary To Pervert Anthony Weiner in New Ad (VIDEO) – American Lookout,fake
191,WOW! Look At The HUGE CROWD That Showed Up To See Trump IN MICHIGAN (PICS AND VIDEO) – American Lookout,fake
192,WHAT? Leftist Protester Going Nuts On CNN Over Hillary Loss WAS A CNN CAMERAMAN? (VIDEO) – American Lookout,fake
193,LOL! Remember When Obama Told Trump He’d Never Be President? (VIDEO) – American Lookout,fake
194,IT’S ABOUT TIME: Maryland School Official Declares End To Student Trump Protests With No Consequences – American Lookout,fake
195,LOL! Social Justice Warriors Were Triggered By This ‘GENDER IDENTITY’ Joke On Saturday Night Live – American Lookout,fake
196,President Obama Makes Massive Call For Illegals To Vote With No Repercussions… This Is Sickening,fake
197,Rosie O’Donnell Leaving The Country for Good… She’s Never Coming Back,fake
198,BREAKING: Hillary Just LOST The Black Vote... Trump Is Going ALL THE WAY To The WHITE HOUSE,fake
199,BREAKING: Wikileaks Reveals Hillary’s Campaign Chair Engages In SATANIC RITUALS,fake
200,BREAKING: Trump Just Gave Obama HORRIBLE News... Check Out What The Pentagon JUST Did,fake
201,Blacks and Liberals Want to Abolish Science,fake
202,A Lot of People in the US Are Suddenly Identifying as “White”,fake
203,"Feds: 275,000 Born to Illegals in One Year, Would Fill City the Size of Orlando",fake
204,Surge of Migrants Illegally Crossing U.S.-Mexico Border Ahead of Election,fake
205,Hispanic Crowd Boos Marco Rubio off Stage,fake
206,"Justice Department Faces Uphill Battle Should Officer Daniel Pantaleo Be Charged in Eric Garner Case, Experts Say",fake
207,Anti-Trump Violence Sweeps the Nation,fake
208,"Fearing Election Day Trouble, Some US Schools Cancel Classes",fake
209,Minnesota Somali Groups Join to Speak with One Voice at Capitol,fake
210,Gambia Joins South Africa and Burundi in Exodus from International Criminal Court,fake
211,Paris at War: Media Silence,fake
212,Our New Country: Women And Minorities Hardest Hit,fake
213,Trump Promises ‘New Deal for Black America’,fake
214,Are Detroit’s Most Terrible Schools Unconstitutional?,fake
215,"Demonstrators Protest Outside Blue Cat Cafe, Say Graffiti Didn’t Come from Them",fake
216,Armstrong: Stop Trying to Make Temple Attacks About Race,fake
217,"Chicago ‘Hits Back,’ Strips Trump of Honorary Street Designation",fake
218,"Don’t Root, Root, Root for the Racist, Red-Face Team from Cleveland",fake
219,Students to Protest ‘Mikado’ for Lack of Engagement with Controversial Past,fake
220,Japan’s Population Declines in 2015 for First Time Since 1920,fake
221,Chinese Immigrants Demand Protection from Paris Muggers,fake
222,Facebook Lets Advertisers Exclude Users by Race,fake
223,Media Self-Destruct over Trump,fake
224,Trump Reaches Out to Blacks; Blacks Riot in Philadelphia,fake
225,Some Cities Want Their Noncitizen Immigrants to Vote,fake
226,Illinois Senator Draws Fire for Racially Charged Attack on Opponent’s Family,fake
227,"‘Go Back to Where You Claim Home,’ Kansas Lawmaker Tells Protester",fake
228,Rancher Yearns for Trump Wall on US-Mexico Border,fake
229,49ers Fans Care More About Victories Than Kaepernick,fake
230,UN: Migrant Deaths in Mediterranean Hit Record in 2016,fake
231,Dutch Anti-Islam MP Wilders to Snub Hate Speech Trial,fake
232,More Migrants Pitch Tents on Paris Streets as Calais Camp Shuts,fake
233,"Canoes Reek of Genocide, Theft and White Privilege, Says Canadian Professor",fake
234,The Chinese Who Saw the Perils of Westernization,fake
235,War With the Comanche,fake
236,"Comments of the Week, October 30, 2016",fake
237,“Birth of a Nation” Bombs,fake
238,Extended Interview: Jorge Ramos Talks Race with Jared Taylor,fake
239,Rise of the Alt-Right,fake
240,Hate Rising with Jorge Ramos,fake
241,"Affirmative Action, Immigration and the Politics of Racial Solidarity",fake
242,Professor Who Tweeted Against PC Culture Is Out at NYU,fake
243,Postering Advice for Alt-Right Guerrilla Activists,fake
244,The Airbnb Community Commitment,fake
245,Agents Accuse Feds of Covering Up Record Border Detainee Numbers for 2016 Election,fake
246,Sex Differences in the Right Tail of Cognitive Abilities: An Update and Cross Cultural Extension,fake
247,Who Paid Hillary Clinton $21.7 Million to Give Speeches?,fake
248,‘We Are Losing Control of the Streets’ Merkel’s Germany Descends into Lawlessness,fake
249,Places Most Unsettled by Rapid Demographic Change Are Drawn to Donald Trump,fake
250,Early Voting Data Shows African American Turnout Dropping,fake
251,"As Race Tightens, Clinton Campaign Is Counting on Minority Support",fake
252,Study Finds Racial Discrimination by Uber and Lyft Drivers,fake
253,Chicago Soars Past 600 Homicides After Bloody October,fake
254,"SWAT Standoff Suspect Linked to Zionsville Murder, IMPD HQ Shootings",fake
255,"Most College Students Think America Invented Slavery, Professor Finds",fake
256,America Is Better Without Borders,fake
257,Sweden on the Brink? Police Force Pushed to Breaking Point by Violence amid Migrant Influx,fake
258,Turnbull to Propose Law That Bans Boat Asylum Seekers from Australia Permanently,fake
259,"Behind 2016’s Turmoil, a Crisis of White Identity",fake
260,"Black Turnout Soft in Early Voting, Boding Ill for Hillary Clinton",fake
261,It’s Harder for Clinton Supporters to Respect Trump Backers Than Vice Versa,fake
262,This Professor Devotes Her Life to Countering Dangerous Speech. She Can’t Ignore Donald Trump’s.,fake
263,Poll: How Millennials View BLM and the Alt-Right,fake
264,"Hence, This Is Racist",fake
265,White Students Start Whites-Only Group to Wreck White Racism,fake
266,Call for Action to Tackle Growing Ethnic Segregation Across UK,fake
267,War on the Streets of Paris: Armed Migrants Fight Running Battles in the French Capital,fake
268,Beneath a Close Election Contest Lie Deep Rifts Among Groups,fake
269,"Race, Not Class, Dictates Republican Future",fake
270,Lena Dunham Posts Video Celebrating the ‘Extinction of White Men’ on Twitter,fake
271,"U-M’s New ‘Chief Diversity Officer’ Will Collect $385,000 per Year",fake
272,Family Remembers Queens Sucker Punch Victim ‘He Was The Best Man I Knew’,fake
273,Nigel Farage Fears Brexit ‘Betrayal’ and Warns of ‘Public Anger’ Following Historic Article 50 Ruling,fake
274,France Closes 4 Mosques for Promoting ‘Radical Ideology’,fake
275,"‘Go Away, You Shouldn’t Be Here. Don’t Come Back’: The Corner of Yorkshire That Has Almost No White Residents",fake
276,Hundreds of Migrants Protest in Paris over Their Treatment by French Authorities,fake
277,The French Fear Islamization but Do Nothing,fake
278,Illegal Immigrants Surging to US-Mexico Border in Race Against Election Day,fake
279,Immigration Surging; 1.5 Million Arriving Each Year,fake
280,Pew: 8 Million Illegal Immigrant Workers in the U.S. in 2014,fake
281,LAPD Investigating Boyle Heights Vandalism as Possible Hate Crimes Sparked by Gentrification Fight,fake
282,Soros Spends $2 Million to Defeat Arpaio,fake
283,"Studies Examine Racial Bias in Pollution, Devaluation of Black Communities",fake
284,Rutgers Student Fired from Campus Newspaper After Writing ‘Illegal Alien’ in Column,fake
285,Obsessing over Europe’s Refugee Crisis While Ignoring Africa’s Is White Privilege at Work,fake
286,Harvard Cancels Men’s Soccer Season After Finding Sexually Explicit ‘Reports’ Continued Through 2016,fake
287,Putin Condemns Europe’s Handling of Migrants and Says the Child Rape in Austria Shows ‘a Dilution of National Values’,fake
288,When the River Ran Red,fake
289,How Hillary Courts the Black Vote,fake
290,Why Obama Will Win,fake
291,"Last Majority White Election, Minorities to Give Democrats White House Through 2060",fake
292,Tim Kaine Cheers End of White Majority in Spanish Address,fake
293,Donald Trump: Minnesota Has ‘Suffered Enough’ Accepting Refugees,fake
294,"Little-Loved by Scholars, Trump Also Gets Little of Their Cash",fake
295,California Set to Let Public Schools Teach Primarily in Spanish,fake
296,Why American Surrogates Are in Demand for Chinese Families,fake
297,Protesters Clash After Mount Greenwood Police-Involved Shooting,fake
298,Alleged Rape Suspect Arrested; Woman Says He Raped Her ‘Because She’s White’,fake
299,German Ministry Wants Migrants Returned to Africa: Report,fake
300,Russia Unveils Update of Advanced Nuclear Weapon,fake
301,Biden: I’d Take on Trump Behind Gym,fake
302,Scientists About To Pour $100 Million Into Looking For Aliens Around Weird Star,fake
303,"Britain, U.S. sending planes, troops to deter Russia in the east",fake
304,Russia And NATO Engage In One Of The Largest Military Build-Ups Since The Cold War,fake
305,Reuters Donald Trump’s Hollywood Walk of Fame star vandalized on video,fake
306,New Las Vegas Casino ONLY for Chinese Gamblers,fake
307,World wildlife ‘falls by 58% in 40 years’,fake
308,Opinion: Economics is a Form of Brain Damage,fake
309,Computers that can read your MIND and convert your thoughts,fake
310,Netflix Ceo: TV’s Future includes Hallucination Pills,fake
311,Obama Admits to Rigged Elections back in 2008,fake
312,Julian Assange Proof of Life Video a FAKE,fake
313,Alex Jones Declares Trump Landslide Victory,fake
314,Julian Assange PREDICTS Trump Will Lose – Still Missing Day 12,fake
315,Julian Assange October Surprise REVEALED,fake
316,BOMBSHELL! FBI Reopens Investigation on Hillary Clinton,fake
317,5 Possibilities Why Comey Reopened Hillary Email Investigation,fake
318,World War 3 is on the Horizon,fake
319,Tokyo could ban US troops from stationing on disputed isles,fake
320,41 Days And 8 Months Later: Dissecting The Oregon Standoff Trial,fake
321,"Nuclear tensions between US, Russia reach ‘dangerous’ point",fake
322,Man in Freddy Krueger Costume Crashes Halloween Party and Shoots 5 People,fake
323,"Joint Drills Between China, Saudis To ‘Fight Terrorism’",fake
324,"China repeatedly hacked US, stole data on nukes, FBI & war plans",fake
325,Get Ready For Civil Unrest,fake
326,Genetically Modified Crops in U.S. Fail to Deliver Expected Yields,fake
327,Wikileaks’ Assange Promises Hillary’s Arrest With Next Release,fake
328,Army says 2-star general committed suicide,fake
329,Hillary Reboots ‘Vast Right-Wing Conspiracy’ Playbook,fake
330,Here is Elon Musk’s True Mars On Earth Plan,fake
331,Asteroid Warning System Found ‘City-Killer’ Object Heading Toward Earth,fake
332,Oregon Standoff Acquittal Sparks Fears of New Land Disputes,fake
333,"Ron Paul: Blame Government, Not Markets For Monopoly",fake
334,DOJ Tried Repeatedly To Kill FBI’s Clinton Foundation Investigation,fake
335,Dakota Access Pipeline: More Than 100 Arrested as Protesters Ousted From Camp,fake
336,Vatican Makes Unprecedented Agreement With Chinese Gov’t,fake
337,Russia and NATO hold war games next to each other,fake
338,"FBI sees no ties between Trump, Putin",fake
339,"NATO, Russia To Hold Parallel Exercises In Balkans",fake
340,S Korea coast guard opens fire on China boats,fake
341,Mark Ruffalo Reportedly Placed on U.S. Terrorist Watch List,fake
342,Putin being FRAMED at UN for War Crimes in Syria Explained,fake
343,Comey Investigation a Red Herring to Cover Up Wikileaks Dump,fake
344,Carter Reveals Upgrades To US Long Range Rocket,fake
345,Russia-US Plutonium Deal No Longer In Effect,fake
346,Half Of Russians Fear Syria Could Spark WW3,fake
347,FBI Releases Clinton Foundation Investigation Records,fake
348,Russia’s Most Potent Weapon: “Hoarding Gold”,fake
349,China Airport Security Robot Gives Electroshocks,fake
350,WikiLeaks Documents Reveal United Nations Interest In UFOs,fake
351,Suspect captured in ‘ambush-style’ killings of two Iowa cops,fake
352,"Bundy brothers discharged from Oregon jail, headed to Nevada with U.S. Marshals",fake
353,Warning or threat? Hillary hints at second civil war if Trump wins,fake
354,U.S. militia girds for trouble as presidential election nears,fake
355,Donald Trump a KGB Spy?,fake
356,Putin grants Steven Seagal Russian citizenship,fake
357,New bionic eye implant connects directly to brain,fake
358,American Express disowns Pink Floyd singer Roger Waters because of pro-Palestinian views,fake
359,Police fire rubber bullets at pipeline protesters,fake
360,Report: FBI’s Clinton Foundation Probe Will ‘Likely’ Lead to Indictment,fake
361,Assad: US waging proxy war in Syria against Russia & Iran,fake
362,November supermoon biggest in nearly 70 years,fake
363,RT crew comes under fire as Aleppo militants launch massive new assault (VIDEO),fake
364,US-led airstrike kills at least 30 Afghan civilians,fake
365,"Protesters, Police Still Clashing Over Disputed North Dakota Pipeline",fake
366,A Coup Taking Place in the United States,fake
367,Juror explanation for Ammon Bundy verdict,fake
368,Doug Casey: A Civil War Could Be in the Cards After the Election,fake
369,FBI Believe Clinton Foundation Case Moving Towards ‘Likely an Indictment’,fake
370,MSM Caught Preparing Hillary Victory Results Prior to Election,fake
371,Julian Assange to Speak Prerecorded RT Interview (11/5/16),fake
372,Analyst: Most Americans like neither Candidate,fake
373,Crack in Earth’s magnetic shield detected,fake
374,Feds warn NYC officials about possible al Qaeda attack,fake
375,🚨Bill Clinton and Hillary Lolita Express Pedophilia Ring🚨,fake
376,The man behind the Trump rally disturbance in Reno,fake
377,Opinion: Hillary is the Whore of Babylon and is not Human,fake
378,US Military Hackers Claim Penetration of Russia,fake
379,Is America On The Brink Of Civil War?,fake
380,Trump breaks from stump speech to admire ‘beautiful’ Trump mask,fake
381,Donald Trump kicks off final campaign day with Fla. rally,fake
382,Kremlin: NATO was Created for Agression,fake
383,Hillary Clinton in lead a day before Election Day,fake
384,"Janet Reno, First Female US Attorney General, Dies At 78",fake
385,5.0 Quake Near Oklahoma Oil Hub Causes Substantial Damage,fake
386,Las Vegas May Become the New Amsterdam,fake
387,"Russia, China Look To Autonomous Financial System",fake
388,Worst Of Saudi Economic Slump Yet To Come,fake
389,Charge Comey with TREASON and Flush Out the Entire FBI,fake
390,US Military Prepares To Shut Down Russia’s Internet If It Hacks The Election,fake
391,Topless Protesters Arrested At Trump’s Polling Station,fake
392,NATO fighter jets on constant watch for Russian jets above Baltic states,fake
393,Election Mood Setting Music for You and Your Family,fake
394,2009 FLASHBACK: “What If” Remixed,fake
395,Lady Gaga Protests Donald Trump Outside of Trump Tower,fake
396,Trump Tower Surrounded By Dump Trucks In Anticipation Of Violence,fake
397,"Shouts of ‘Not my president!’ in California, following Trump victory",fake
398,Elites Have Secretly “Banked On Trump Victory,fake
399,Russia To Hit ISIS In Aleppo With Cruise Missiles,fake
400,DAPL Protesters Proven Right as Largest Gas Pipeline in U.S. Experiences Massive and Deadly Explosion – Anonymous,fake
401,CNN Exposed: Using Own Camera-Man For Story as Trump Protester,fake
402,Pipeline Billionaire Who Militarized Police at Standing Rock,fake
403,Twittergate is happening right now. 1000s of twitter Pedophile accounts discovered,fake
404,"Capitalism Is Doomed — Without Alternatives, So Are We",fake
405,Wikileaks Releases First Batch Of Barack Obama Emails & They Hint At A Rigged Election,fake
406,Putin blasts Clinton & Tells U.S. Govt to STOP Criticizing Russia,fake
407,"The Many ""Truths"" on Syria: How Our Rivalry Has Destroyed a Country",fake
408,New French Law Makes It Illegal To Contact Employees After Work Hours,fake
